"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"Lykon/dreamshaper-xl-1-0","style","CH","32","32","conv","adamw","35","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"Lykon/dreamshaper-xl-1-0","style","M","32","32","conv","adamw","30","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"Lykon/dreamshaper-xl-1-0","style","G","32","32","conv","adamw","26","8","1","3.8E-05","1.9E-06","cosine","150","6","0.033","0.0001",,"6",""
"Lykon/dreamshaper-xl-1-0","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"Lykon/dreamshaper-xl-1-0","subject","ECH","32","32","conv","prodigy","73","4","1","0.95","0.95","constant",,"5","0.03","0.012","1.2","4","caption_dropout_rate"
"Lykon/dreamshaper-xl-1-0","subject","CH","32","32","conv","prodigy","33","4","1","1.0","1.0","constant",,"5",,"0.008","1.0","4",""
"Lykon/dreamshaper-xl-1-0","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"Lykon/dreamshaper-xl-1-0","subject","G","32","32","conv","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"Lykon/dreamshaper-xl-1-0","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"mann-e/Mann-E_Dreams","style","ECH","32","32","conv","adamw","38","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"mann-e/Mann-E_Dreams","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
